#rMax,signalType,configFile,date,year,lumi,config,inputmjj
#2016
8.1,qg,dijetSep_Atlas,17June2023,2016G,7575.824256,CaloDijetSep2016G,CaloScoutingHT2016G_DatavsQDCMC_11June2023_2245
2.1,qq,dijetSep_Atlas,17June2023,2016G,7575.824256,CaloDijetSep2016G,CaloScoutingHT2016G_DatavsQDCMC_11June2023_2245


#2017
6.6,gg,dijetSep_Atlas,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245
7.8,qg,dijetSep_Atlas,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245
2.1,qq,dijetSep_Atlas,17June2023,2017C,8377.067561,CaloDijetSep2017C,CaloScoutingHT2017C_DatavsQDCMC_11June2023_2245

1.4,gg,dijetSep_Atlas,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245
5.1,qg,dijetSep_Atlas,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245
3.8,qq,dijetSep_Atlas,17June2023,2017D,4247.682094,CaloDijetSep2017D,CaloScoutingHT2017D_DatavsQDCMC_11June2023_2245

5.2,gg,dijetSep_Atlas,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245
2.4,qg,dijetSep_Atlas,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245
1.5,qq,dijetSep_Atlas,17June2023,2017E,9285.786621,CaloDijetSep2017E,CaloScoutingHT2017E_DatavsQDCMC_11June2023_2245

8.8,gg,dijetSep_Atlas,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245
3.7,qg,dijetSep_Atlas,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245
3.7,qq,dijetSep_Atlas,17June2023,2017F,13539.378492,CaloDijetSep2017F,CaloScoutingHT2017F_DatavsQDCMC_11June2023_2245


#2018
2.4,gg,dijetSep_Atlas,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245
6.1,qg,dijetSep_Atlas,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245
3.4,qq,dijetSep_Atlas,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245

3.8,gg,dijetSep_Atlas,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245
3.6,qg,dijetSep_Atlas,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245
5.4,qq,dijetSep_Atlas,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245

3.7,gg,dijetSep_Atlas,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245
1.5,qg,dijetSep_Atlas,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245
1.4,qq,dijetSep_Atlas,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245

1.9,gg,dijetSep_Atlas,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
1.0,qg,dijetSep_Atlas,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
2.9,qq,dijetSep_Atlas,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
