#rMax,signalType,configFile,date,year,lumi,config,inputmjj
2.0,gg,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245
4.3,qg,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245
3.1,qq,dijetSep,17June2023,2018A,13974.656080,CaloDijetSep2018A,CaloScoutingHT2018A_DatavsQDCMC_11June2023_2245

8.6,gg,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245
2.9,qg,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245
4.3,qq,dijetSep,17June2023,2018B,7057.396004,CaloDijetSep2018B,CaloScoutingHT2018B_DatavsQDCMC_11June2023_2245

2.8,gg,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245
6.8,qg,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245
1.1,qq,dijetSep,17June2023,2018C,6894.770971,CaloDijetSep2018C,CaloScoutingHT2018C_DatavsQDCMC_11June2023_2245

3.7,gg,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
3.1,qg,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
2.5,qq,dijetSep,17June2023,2018D,26524.906306,CaloDijetSep2018D,CaloScoutingHT2018D_DatavsQDCMC_11June2023_2245
